Instance,nTorpedoes,desulfTime,total runtime,MIP time,CP time,iterations,cache hit rate,subproblem success rate,num subproblems,average subproblem length,median subproblem length,max length
config1 30x20,3,125,0.315,0.052,0.233,1,0.000,100.000,4,5.000,3.000,0
config1 100x50,3,77,0.400,0.129,0.261,1,0.000,100.000,9,5.556,3.000,0
config1 300x200,3,1482,1.911,1.286,0.565,1,0.000,100.000,20,10.000,1.000,0
config2 30x20,3,144,0.377,0.022,0.059,2,27.273,90.909,8,4.750,1.000,0
config2 100x50,4,154,0.340,0.128,0.202,1,0.000,100.000,4,12.500,4.500,0
config2 300x200,3,720,2.330,1.318,0.950,1,0.000,100.000,41,4.878,2.000,0
config3 30x20,3,84,0.153,0.015,0.131,1,0.000,100.000,9,2.222,1.000,0
config3 100x50,3,190,0.390,0.114,0.262,1,0.000,100.000,27,1.852,1.000,0
config3 300x200,4,615,1.873,1.253,0.561,1,0.000,100.000,13,15.385,2.000,0
instance01,4,7695,41.331,36.470,4.283,1,0.000,100.000,10,80.000,1.000,316
instance02,4,5302,118.720,104.471,12.435,1,0.000,100.000,43,32.558,1.000,774
instance03,3,27150,415.389,403.623,7.837,1,0.000,100.000,583,3.602,1.000,123
instance04,3,10676,34.754,32.114,1.769,1,0.000,100.000,839,1.192,1.000,4
instance05,4,16308,574.852,557.256,7.705,3,50.416,99.908,1074,3.286,1.000,410
instance06,4,7755,1133.542,1098.911,16.750,2,48.485,98.485,34,91.324,1.000,755
config3 500x200,4,238,7.579,5.761,0.669,2,13.953,97.674,37,10.703,1.000,0
config3 1500x1000,4,1815,88.609,84.068,3.208,1,0.000,100.000,44,22.727,2.000,0
config2 1000x500,0,0,0.482,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0
config1 1000x500,4,546,28.414,26.090,1.814,1,0.000,100.000,53,9.434,1.000,0
config3 1000x500,4,432,25.661,23.011,2.142,1,0.000,100.000,44,11.364,4.500,0
config1 1500x1000,4,1250,87.387,82.468,3.575,1,0.000,100.000,26,38.462,7.500,0
config2 3000x500,5,140,412.892,403.836,6.613,1,0.000,100.000,197,2.538,0.000,0
config3 3000x2000,4,3180,876.566,861.528,9.618,1,0.000,100.000,63,31.746,7.000,0
config2 1500x1000,0,0,1.297,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0
config1 3000x500,5,25,1897.999,1887.309,8.047,1,0.000,100.000,782,0.639,0.000,0
config3 3000x1000,4,564,529.804,513.020,13.296,1,0.000,100.000,572,1.748,0.000,0
config2 3000x2000,0,0,5.217,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0
config1 3000x1000,5,468,519.113,510.722,4.979,1,0.000,100.000,101,9.901,0.000,0
config1 500x200,4,130,5.337,4.274,0.933,1,0.000,100.000,24,8.333,4.000,0
config1 3000x2000,4,5301,773.672,759.870,8.486,1,0.000,100.000,55,36.364,7.000,0
config1 2000x1000,4,1638,194.296,188.203,4.174,1,0.000,100.000,87,11.494,2.000,0
config2 3000x1000,0,0,3.254,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0
config1 300x100,4,216,1.615,1.131,0.442,1,0.000,100.000,32,3.125,0.000,0
config2 2000x1000,5,870,552.648,470.945,4.181,3,14.865,97.297,63,47.619,1.000,0
config3 3000x500,5,60,440.939,433.463,5.047,1,0.000,100.000,270,1.852,0.000,0
config3 2000x1000,5,845,354.375,342.673,3.938,2,40.909,97.727,26,65.077,26.000,0
config3 300x100,4,56,1.642,1.166,0.434,1,0.000,100.000,46,2.174,0.000,0
config2 500x200,3,1150,5.381,3.895,1.363,1,0.000,100.000,101,1.980,1.000,0
config2 300x100,4,52,1.701,1.208,0.451,1,0.000,100.000,22,4.545,0.000,0
config1 10000x5000,4,10374,102591.355,101746.948,390.170,2,38.966,99.901,1006,0,0,0
config2 10000x5000,0,0,57.092,0,0,0,0,0,0,0,0,0
config3 10000x5000,5,2587,145594.688,144715.916,279.694,2,22.061,99.855,689,0,0,0
